City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
458,VIP,COMPLETED,2020-10-30 16:02:26 +0000 UTC,2020-10-30 16:05:24 +0000 UTC,-23.624592,-46.701138,2020-10-30 16:41:58 +0000 UTC,-23.55949,-46.66645,6.17,22.46,BRL
458,VIP,CANCELED,2020-10-30 15:59:55 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.620277,-46.69794,1970-01-01 00:00:00 +0000 UTC,-23.62027715,-46.69794191,0,0,BRL
458,VIP,COMPLETED,2020-10-30 11:41:38 +0000 UTC,2020-10-30 11:46:13 +0000 UTC,-23.55945,-46.666496,2020-10-30 12:08:45 +0000 UTC,-23.624554,-46.701042,5.96,21.35,BRL
458,VIP,COMPLETED,2020-03-19 22:08:35 +0000 UTC,2020-03-19 22:12:26 +0000 UTC,-23.6245662,-46.7010456,2020-03-19 22:29:04 +0000 UTC,-23.5593595,-46.6665002,5.6,20.38,BRL
458,VIP,COMPLETED,2020-03-19 11:14:14 +0000 UTC,2020-03-19 11:17:22 +0000 UTC,-23.5593617,-46.6664583,2020-03-19 11:35:31 +0000 UTC,-23.6245499,-46.7011459,5.98,23.41,BRL
458,VIP,COMPLETED,2020-03-18 11:14:54 +0000 UTC,2020-03-18 11:17:52 +0000 UTC,-23.5595008,-46.6664296,2020-03-18 11:39:29 +0000 UTC,-23.6245747,-46.701121,6.05,22.08,BRL
458,VIP,COMPLETED,2020-03-17 23:15:08 +0000 UTC,2020-03-17 23:21:19 +0000 UTC,-23.6246871,-46.7008171,2020-03-17 23:36:58 +0000 UTC,-23.5594793,-46.6664565,5.59,20.34,BRL
458,VIP,COMPLETED,2020-03-16 09:56:27 +0000 UTC,2020-03-16 09:59:33 +0000 UTC,-23.5593511,-46.666488,2020-03-16 10:20:27 +0000 UTC,-23.6247021,-46.7009501,6.01,21.92,BRL
458,VIP,COMPLETED,2020-03-12 10:48:17 +0000 UTC,2020-03-12 11:08:01 +0000 UTC,-23.5593303,-46.6665643,2020-03-12 11:56:21 +0000 UTC,-23.6244897,-46.7009874,6.46,24.54,BRL
458,VIP,CANCELED,2020-03-12 10:47:42 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5570005,-46.6687176,1970-01-01 00:00:00 +0000 UTC,-23.55695861,-46.66876567,0,0,BRL
458,VIP,CANCELED,2020-03-12 10:46:48 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5568277,-46.6690233,1970-01-01 00:00:00 +0000 UTC,-23.55682781,-46.66902317,0,0,BRL
458,VIP,CANCELED,2020-03-12 10:23:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5570628,-46.6685487,1970-01-01 00:00:00 +0000 UTC,-23.56083211,-46.67251859,0,0,BRL
458,VIP,COMPLETED,2020-03-10 11:16:05 +0000 UTC,2020-03-10 11:22:37 +0000 UTC,-23.5593591,-46.6665025,2020-03-10 12:08:38 +0000 UTC,-23.6249448,-46.7013194,7.68,33.74,BRL
458,VIP,CANCELED,2020-03-10 11:13:26 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5549419,-46.6731552,1970-01-01 00:00:00 +0000 UTC,-23.55414833,-46.67188399,0,0,BRL
458,VIP,CANCELED,2020-03-10 11:11:48 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5690912,-46.6799805,1970-01-01 00:00:00 +0000 UTC,-23.56909121,-46.67998049,0,0,BRL
458,VIP,COMPLETED,2020-03-10 04:12:06 +0000 UTC,2020-03-10 04:19:03 +0000 UTC,-23.6246961,-46.7007286,2020-03-10 04:39:43 +0000 UTC,-23.5593722,-46.6664251,6.78,19.5,BRL
458,VIP,COMPLETED,2020-03-09 09:52:17 +0000 UTC,2020-03-09 09:59:06 +0000 UTC,-23.5593386,-46.6665073,2020-03-09 10:21:53 +0000 UTC,-23.6249106,-46.7006571,5.99,34.01,BRL
458,VIP,COMPLETED,2020-03-06 00:41:57 +0000 UTC,2020-03-06 00:46:06 +0000 UTC,-23.6226199,-46.6991889,2020-03-06 01:06:27 +0000 UTC,-23.5595624,-46.6665394,5.57,20.65,BRL
458,VIP,COMPLETED,2020-03-03 11:08:27 +0000 UTC,2020-03-03 11:12:46 +0000 UTC,-23.5593488,-46.6664831,2020-03-03 11:53:53 +0000 UTC,-23.6245325,-46.7010044,6.44,29.82,BRL
458,VIP,COMPLETED,2020-03-02 11:01:18 +0000 UTC,2020-03-02 11:07:25 +0000 UTC,-23.5593418,-46.6663762,2020-03-02 11:59:22 +0000 UTC,-23.6245682,-46.7009553,7.62,31.63,BRL
458,VIP,CANCELED,2020-03-02 11:00:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5645844,-46.6545745,1970-01-01 00:00:00 +0000 UTC,-23.56456492,-46.65459229,0,0,BRL
458,VIP,COMPLETED,2020-02-28 23:10:00 +0000 UTC,2020-02-28 23:13:32 +0000 UTC,-23.6226616,-46.7018851,2020-02-28 23:35:50 +0000 UTC,-23.5594719,-46.6664113,5.8,18.43,BRL
458,VIP,COMPLETED,2020-02-28 11:05:36 +0000 UTC,2020-02-28 11:08:11 +0000 UTC,-23.55933,-46.6664167,2020-02-28 11:48:59 +0000 UTC,-23.6246338,-46.7009416,5.98,19.8,BRL
458,VIP,CANCELED,2020-02-27 11:10:36 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5583566,-46.6690102,1970-01-01 00:00:00 +0000 UTC,-23.558508,-46.66877913,0,0,BRL
458,VIP,COMPLETED,2020-02-21 20:28:57 +0000 UTC,2020-02-21 20:35:50 +0000 UTC,-23.62469,-46.70059,2020-02-21 20:59:07 +0000 UTC,-23.55945,-46.66646,5.58,27.57,BRL
458,VIP,COMPLETED,2020-02-21 11:02:39 +0000 UTC,2020-02-21 11:10:53 +0000 UTC,-23.5593232,-46.6664403,2020-02-21 11:41:48 +0000 UTC,-23.6245219,-46.7011361,6.03,24.07,BRL
458,VIP,CANCELED,2020-02-21 10:55:44 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5564537,-46.6644398,1970-01-01 00:00:00 +0000 UTC,-23.56103176,-46.6789032,0,0,BRL
458,VIP,COMPLETED,2020-02-20 01:10:51 +0000 UTC,2020-02-20 01:17:30 +0000 UTC,-23.6223484,-46.6991585,2020-02-20 01:46:16 +0000 UTC,-23.5897694,-46.6340214,4.41,26.99,BRL
458,VIP,COMPLETED,2020-02-17 21:36:55 +0000 UTC,2020-02-17 21:41:30 +0000 UTC,-23.6204982,-46.7002826,2020-02-17 22:36:09 +0000 UTC,-23.568199,-46.6481043,6.92,41.13,BRL
458,VIP,CANCELED,2020-02-17 21:35:23 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.6325701,-46.7100971,1970-01-01 00:00:00 +0000 UTC,-23.63256456,-46.7101219,0,0,BRL
458,VIP,COMPLETED,2020-02-14 01:38:40 +0000 UTC,2020-02-14 01:44:09 +0000 UTC,-23.624664,-46.7010127,2020-02-14 02:03:21 +0000 UTC,-23.5593779,-46.6664841,5.58,27.3,BRL
458,VIP,COMPLETED,2020-02-12 10:58:33 +0000 UTC,2020-02-12 11:07:23 +0000 UTC,-23.5593209,-46.6668324,2020-02-12 11:51:47 +0000 UTC,-23.6245191,-46.7010364,6.09,39.97,BRL
458,VIP,CANCELED,2020-02-12 10:56:55 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5625817,-46.6747364,1970-01-01 00:00:00 +0000 UTC,-23.5625745,-46.67476547,0,0,BRL
458,VIP,COMPLETED,2020-02-11 10:37:00 +0000 UTC,2020-02-11 10:45:01 +0000 UTC,-23.5594976,-46.6663962,2020-02-11 11:16:17 +0000 UTC,-23.624603,-46.7009155,6.62,30.31,BRL
458,VIP,COMPLETED,2020-02-10 16:53:47 +0000 UTC,2020-02-10 16:56:27 +0000 UTC,-23.5594968,-46.6664313,2020-02-10 17:31:37 +0000 UTC,-23.6245406,-46.7011174,7.42,30.28,BRL
458,VIP,DRIVER_CANCELED,2020-02-05 10:59:41 +0000 UTC,2020-02-05 11:10:09 +0000 UTC,-23.5694611,-46.6717841,1970-01-01 00:00:00 +0000 UTC,-23.5593105,-46.6664557,0.02,0,BRL
458,VIP,COMPLETED,2020-02-03 10:53:19 +0000 UTC,2020-02-03 10:59:48 +0000 UTC,-23.5593794,-46.6664933,2020-02-03 11:37:01 +0000 UTC,-23.624573,-46.7009811,6.01,24.65,BRL
458,VIP,COMPLETED,2020-02-01 22:17:55 +0000 UTC,2020-02-01 22:26:43 +0000 UTC,-23.559117,-46.6665798,2020-02-01 22:39:13 +0000 UTC,-23.554227,-46.6560723,1.43,8.23,BRL
458,VIP,CANCELED,2020-01-31 23:38:21 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,1970-01-01 00:00:00 +0000 UTC,,,0,0,BRL
458,VIP,CANCELED,2020-01-31 23:37:04 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,1970-01-01 00:00:00 +0000 UTC,,,0,0,BRL
458,VIP,COMPLETED,2020-01-30 10:45:36 +0000 UTC,2020-01-30 10:51:08 +0000 UTC,-23.5591703,-46.666397,2020-01-30 11:28:34 +0000 UTC,-23.6245017,-46.700992,6.02,21.51,BRL
458,VIP,CANCELED,2020-01-30 10:44:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5570861,-46.6687896,1970-01-01 00:00:00 +0000 UTC,-23.55708615,-46.66878965,0,0,BRL
458,VIP,COMPLETED,2020-01-29 11:01:36 +0000 UTC,2020-01-29 11:07:02 +0000 UTC,-23.559368,-46.6665721,2020-01-29 11:31:06 +0000 UTC,-23.6245215,-46.7011146,6.21,21.48,BRL
458,VIP,COMPLETED,2020-01-28 11:15:36 +0000 UTC,2020-01-28 11:19:52 +0000 UTC,-23.5593851,-46.6664847,2020-01-28 11:51:49 +0000 UTC,-23.6245334,-46.7010361,6.03,22.58,BRL
458,VIP,COMPLETED,2020-01-27 11:07:08 +0000 UTC,2020-01-27 11:09:49 +0000 UTC,-23.5594017,-46.6663317,2020-01-27 11:40:46 +0000 UTC,-23.6245533,-46.700999,6.02,22.56,BRL
458,VIP,COMPLETED,2020-01-24 11:01:07 +0000 UTC,2020-01-24 11:05:47 +0000 UTC,-23.5595207,-46.6664687,2020-01-24 11:36:38 +0000 UTC,-23.6245483,-46.7007607,5.99,20.09,BRL
458,VIP,CANCELED,2020-01-23 11:19:45 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5552052,-46.6684544,1970-01-01 00:00:00 +0000 UTC,-23.55563589,-46.66741277,0,0,BRL
458,VIP,COMPLETED,2020-01-22 23:01:31 +0000 UTC,2020-01-22 23:07:02 +0000 UTC,-23.625161,-46.7015861,2020-01-22 23:31:30 +0000 UTC,-23.5592766,-46.6666408,5.56,20.07,BRL
458,VIP,COMPLETED,2020-01-20 11:10:20 +0000 UTC,2020-01-20 11:15:17 +0000 UTC,-23.559368,-46.6663229,2020-01-20 11:51:41 +0000 UTC,-23.6245632,-46.7011078,6.02,21.48,BRL
458,VIP,COMPLETED,2020-01-19 04:37:51 +0000 UTC,2020-01-19 04:46:35 +0000 UTC,-23.5831272,-46.6082455,2020-01-19 05:09:40 +0000 UTC,-23.5592925,-46.6664492,5.04,22.62,BRL
458,VIP,COMPLETED,2020-01-18 03:54:37 +0000 UTC,2020-01-18 03:55:16 +0000 UTC,-23.5618534,-46.6461325,2020-01-18 04:05:42 +0000 UTC,-23.5593245,-46.6665357,2.02,9.1,BRL
458,VIP,COMPLETED,2020-01-17 10:55:15 +0000 UTC,2020-01-17 11:00:45 +0000 UTC,-23.5594238,-46.6664465,2020-01-17 11:31:01 +0000 UTC,-23.6245428,-46.7010183,5.96,20.29,BRL
458,UberX,COMPLETED,2020-01-14 10:52:54 +0000 UTC,2020-01-14 10:57:00 +0000 UTC,-23.5594355,-46.6664249,2020-01-14 11:29:21 +0000 UTC,-23.6244904,-46.7009642,6.02,20.91,BRL
458,UberX,COMPLETED,2020-01-10 23:24:26 +0000 UTC,2020-01-10 23:26:06 +0000 UTC,-23.6225559,-46.699078,2020-01-10 23:53:54 +0000 UTC,-23.5593177,-46.6664697,6.15,25.38,BRL
458,UberX,COMPLETED,2020-01-09 01:11:16 +0000 UTC,2020-01-09 01:17:44 +0000 UTC,-23.6227008,-46.6992215,2020-01-09 01:40:39 +0000 UTC,-23.5897198,-46.6340898,7.49,26.85,BRL
458,UberX,COMPLETED,2020-01-06 10:57:34 +0000 UTC,2020-01-06 11:00:13 +0000 UTC,-23.55939,-46.66654,2020-01-06 11:44:03 +0000 UTC,-23.6247,-46.70114,5.97,20.8,BRL
458,UberX,COMPLETED,2019-12-24 01:01:27 +0000 UTC,2019-12-24 01:05:27 +0000 UTC,-23.5598845,-46.6964414,2019-12-24 01:18:04 +0000 UTC,-23.5593471,-46.6663865,3.17,12.86,BRL
458,UberX,COMPLETED,2019-12-23 22:01:19 +0000 UTC,2019-12-23 22:02:58 +0000 UTC,-23.5666261,-46.7010333,2019-12-23 22:08:04 +0000 UTC,-23.5599594,-46.6966915,0.89,9.85,BRL
458,UberX,COMPLETED,2019-12-23 09:14:08 +0000 UTC,2019-12-23 09:18:09 +0000 UTC,-23.5593931,-46.6664654,2019-12-23 09:36:46 +0000 UTC,-23.6236397,-46.6996955,5.9,24.69,BRL
458,UberX,COMPLETED,2019-12-21 16:10:56 +0000 UTC,2019-12-21 16:13:21 +0000 UTC,-23.5593638,-46.6664784,2019-12-21 16:22:42 +0000 UTC,-23.5666085,-46.679704,1.62,8.22,BRL
458,UberX,COMPLETED,2019-12-20 10:57:26 +0000 UTC,2019-12-20 11:06:26 +0000 UTC,-23.5595345,-46.667087,2019-12-20 11:41:40 +0000 UTC,-23.6246805,-46.700688,5.91,21.45,BRL
458,UberX,COMPLETED,2019-12-19 23:43:29 +0000 UTC,2019-12-19 23:48:34 +0000 UTC,-23.6228059,-46.6992577,2019-12-20 00:19:46 +0000 UTC,-23.5595676,-46.6651815,6.27,26.62,BRL
458,UberEATS Marketplace,COMPLETED,2019-12-18 01:55:54 +0000 UTC,2019-12-18 02:08:59 +0000 UTC,-23.5902921,-46.6342251,2019-12-18 02:08:59 +0000 UTC,-23.5902921,-46.6342251,0.55,35.89,BRL
458,UberX,COMPLETED,2019-12-16 10:42:49 +0000 UTC,2019-12-16 10:48:40 +0000 UTC,-23.5593952,-46.6663668,2019-12-16 11:15:50 +0000 UTC,-23.6245537,-46.7009911,6.08,21.7,BRL
458,UberX,CANCELED,2019-12-10 23:57:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,1970-01-01 00:00:00 +0000 UTC,,,0,0,BRL
458,UberX,CANCELED,2019-12-10 23:55:25 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,1970-01-01 00:00:00 +0000 UTC,,,0,0,BRL
458,UberX,COMPLETED,2019-12-02 10:37:23 +0000 UTC,2019-12-02 10:46:04 +0000 UTC,-23.5592525,-46.6668376,2019-12-02 11:19:15 +0000 UTC,-23.6246039,-46.7011292,5.95,27.16,BRL
458,UberX,DRIVER_CANCELED,2019-12-02 10:36:20 +0000 UTC,2019-12-02 10:36:49 +0000 UTC,-23.5586315,-46.6650436,1970-01-01 00:00:00 +0000 UTC,-23.5586444,-46.665064,0,0,BRL
458,UberX,COMPLETED,2019-11-30 03:34:56 +0000 UTC,2019-11-30 03:40:37 +0000 UTC,-23.5918129,-46.6907203,2019-11-30 03:53:24 +0000 UTC,-23.5593657,-46.6664886,3.54,0,BRL
458,UberX,CANCELED,2019-11-29 20:23:28 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.6259955,-46.7099116,1970-01-01 00:00:00 +0000 UTC,-23.6257619,-46.7095611,0,0,BRL
458,UberX,COMPLETED,2019-11-29 11:01:30 +0000 UTC,2019-11-29 11:05:52 +0000 UTC,-23.5590314,-46.6664188,2019-11-29 11:38:00 +0000 UTC,-23.6246512,-46.7012253,5.98,31.76,BRL
458,UberX,COMPLETED,2019-11-28 23:59:32 +0000 UTC,2019-11-29 00:07:24 +0000 UTC,-23.5897328,-46.6343148,2019-11-29 00:32:40 +0000 UTC,-23.5593573,-46.6666084,4.59,15.71,BRL
458,UberX,COMPLETED,2019-11-28 11:29:33 +0000 UTC,2019-11-28 11:43:10 +0000 UTC,-23.6273,-46.68815,2019-11-28 12:05:17 +0000 UTC,-23.62508,-46.70083,1.91,17.03,BRL
458,UberX,CANCELED,2019-11-28 11:27:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.6263417,-46.7023733,1970-01-01 00:00:00 +0000 UTC,-23.6252367,-46.7009618,0,0,BRL
458,UberX,COMPLETED,2019-11-17 03:52:07 +0000 UTC,2019-11-17 03:55:24 +0000 UTC,-23.5521757,-46.6609652,2019-11-17 04:02:37 +0000 UTC,-23.5591479,-46.6665651,1.51,8.98,BRL
458,UberEATS Marketplace,COMPLETED,2019-11-09 00:00:00 +0000 UTC,2019-11-09 01:28:33 +0000 UTC,-23.559243,-46.6662783,2019-11-09 01:28:33 +0000 UTC,-23.559243,-46.6662783,1.57,31.99,BRL
458,UberX,COMPLETED,2019-11-05 14:13:47 +0000 UTC,2019-11-05 14:14:32 +0000 UTC,-23.55714,-46.71167,2019-11-05 14:30:00 +0000 UTC,-23.49942,-46.83712,10.08,34.88,BRL
458,UberX,COMPLETED,2019-11-04 21:17:09 +0000 UTC,2019-11-04 21:24:07 +0000 UTC,-23.6250996,-46.7016351,2019-11-04 22:25:53 +0000 UTC,-23.5681581,-46.648213,9.1,37.93,BRL
458,UberEATS Marketplace,COMPLETED,2019-10-19 00:14:19 +0000 UTC,2019-10-19 00:54:56 +0000 UTC,-23.559243,-46.6662783,2019-10-19 00:54:56 +0000 UTC,-23.559243,-46.6662783,1.53,33.89,BRL
458,UberX,COMPLETED,2019-10-14 20:56:09 +0000 UTC,2019-10-14 21:02:43 +0000 UTC,-23.4993585,-46.8371364,2019-10-14 21:38:13 +0000 UTC,-23.5513271,-46.6782767,13.23,51.01,BRL
458,UberX,COMPLETED,2019-10-08 10:13:23 +0000 UTC,2019-10-08 10:19:11 +0000 UTC,-23.5897,-46.63432,2019-10-08 10:43:26 +0000 UTC,-23.55944,-46.66647,4.26,17.43,BRL
458,UberX,CANCELED,2019-10-08 10:11:45 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5930765,-46.6374635,1970-01-01 00:00:00 +0000 UTC,-23.5930824,-46.6366775,0,0,BRL
458,UberX,CANCELED,2019-10-07 01:08:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,1970-01-01 00:00:00 +0000 UTC,,,0,0,BRL
458,UberX,COMPLETED,2019-09-30 11:39:07 +0000 UTC,2019-09-30 11:45:00 +0000 UTC,-23.6336588,-46.6926211,2019-09-30 12:00:09 +0000 UTC,-23.6251984,-46.7009311,1.99,13.18,BRL
458,UberX,COMPLETED,2019-09-20 21:43:13 +0000 UTC,2019-09-20 21:46:18 +0000 UTC,-23.624478,-46.7010775,2019-09-20 22:00:22 +0000 UTC,-23.6328069,-46.6934561,2.03,14.51,BRL
458,UberEATS Marketplace,CANCELED,2019-09-07 01:27:58 +0000 UTC,2019-09-07 02:23:47 +0000 UTC,-23.561575,-46.67988,2019-09-07 02:23:47 +0000 UTC,-23.561575,-46.67988,0.88,0,BRL
458,UberX,COMPLETED,2019-08-28 01:45:22 +0000 UTC,2019-08-28 01:50:59 +0000 UTC,-23.565565,-46.6516825,2019-08-28 01:59:28 +0000 UTC,-23.559358,-46.6664925,1.47,7.41,BRL
458,VIP,CANCELED,2019-08-28 01:44:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5749678,-46.6614003,1970-01-01 00:00:00 +0000 UTC,-23.5746331,-46.6610196,0,0,BRL
458,VIP,CANCELED,2019-08-28 01:43:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.5638632,-46.6577056,1970-01-01 00:00:00 +0000 UTC,-23.5638727,-46.6577294,0,0,BRL
458,VIP,COMPLETED,2019-08-21 22:10:13 +0000 UTC,2019-08-21 22:12:50 +0000 UTC,-23.5837905,-46.6736883,2019-08-21 22:48:59 +0000 UTC,-23.5897093,-46.6341447,4.72,18.99,BRL
458,UberX,COMPLETED,2019-08-21 20:09:09 +0000 UTC,2019-08-21 20:12:34 +0000 UTC,-23.5897467,-46.6342369,2019-08-21 20:31:25 +0000 UTC,-23.5838811,-46.6736383,3.38,14.08,BRL
458,UberEATS Marketplace,COMPLETED,2019-08-19 23:42:00 +0000 UTC,2019-08-20 00:28:43 +0000 UTC,-23.5902921,-46.6342251,2019-08-20 00:28:43 +0000 UTC,-23.5902921,-46.6342251,3.16,46,BRL
458,VIP,CANCELED,2019-08-04 05:06:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.6202359,-46.7375577,1970-01-01 00:00:00 +0000 UTC,-23.6212061,-46.7376006,0,0,BRL
458,UberX,COMPLETED,2019-08-02 23:24:24 +0000 UTC,2019-08-02 23:27:17 +0000 UTC,-23.55929,-46.6664954,2019-08-02 23:32:59 +0000 UTC,-23.5630458,-46.6726512,0.58,6.44,BRL
458,UberX,COMPLETED,2019-08-01 02:18:02 +0000 UTC,2019-08-01 02:20:59 +0000 UTC,-23.561885,-46.6580741,2019-08-01 02:25:17 +0000 UTC,-23.5593337,-46.6665488,0.77,7.62,BRL
458,UberX,COMPLETED,2019-07-31 17:42:10 +0000 UTC,2019-07-31 17:43:09 +0000 UTC,-23.626597,-46.579885,2019-07-31 17:51:12 +0000 UTC,-23.6112972,-46.5707363,1.81,7.31,BRL
458,UberEATS Marketplace,COMPLETED,2019-07-28 22:44:47 +0000 UTC,2019-07-28 23:15:11 +0000 UTC,-23.5902921,-46.6342251,2019-07-28 23:15:11 +0000 UTC,-23.5902921,-46.6342251,3.16,51.99,BRL
458,UberX,COMPLETED,2019-07-26 03:17:48 +0000 UTC,2019-07-26 03:22:51 +0000 UTC,-23.5646019,-46.6802976,2019-07-26 03:38:38 +0000 UTC,-23.5898961,-46.6347077,3.94,16.82,BRL
458,UberX,COMPLETED,2019-07-25 22:15:21 +0000 UTC,2019-07-25 22:16:54 +0000 UTC,-23.6110917,-46.5709733,2019-07-25 23:06:18 +0000 UTC,-23.564655,-46.6803749,12.12,33.22,BRL
458,UberX,COMPLETED,2019-07-21 23:48:00 +0000 UTC,2019-07-21 23:50:53 +0000 UTC,-23.5593221,-46.6663949,2019-07-22 00:11:32 +0000 UTC,-23.5897394,-46.6339828,4.72,18.63,BRL
458,UberX,COMPLETED,2019-07-20 12:44:53 +0000 UTC,2019-07-20 12:46:13 +0000 UTC,-23.5924235,-46.6494383,2019-07-20 12:52:54 +0000 UTC,-23.5901449,-46.634857,1.19,7.89,BRL
458,UberX,COMPLETED,2019-07-20 11:12:36 +0000 UTC,2019-07-20 11:19:55 +0000 UTC,-23.5888573,-46.633139,2019-07-20 11:29:25 +0000 UTC,-23.5925744,-46.6485508,2.14,8.26,BRL
458,UberX,COMPLETED,2019-07-19 12:25:44 +0000 UTC,2019-07-19 12:29:53 +0000 UTC,-23.5897179,-46.6342228,2019-07-19 12:50:22 +0000 UTC,-23.6113086,-46.5708697,5.61,19.99,BRL
